QUIZ,PERGUNTA,RESPOSTA 1,RESPOSTA 2,RESPOSTA 3
1,Qual é o causador da Covid-19?,Vírus,Bacteria,Fungo
1,A Covid-19 afeta principalmente qual órgão do corpo humano?,Pulmão,Figado,Pele
1,Quais os principais sintomas da Covid-19?,Tosse e espirro,Coceira,Manchas vermelhas pela pele
1,Qual é o mais seguro entre esses espaços?,Parque/bosque,Shopping,Hospital
1,Posso transmitir Covid-19 sendo assintomático (sem sintomas)?,Sim,Não,
2,Qual faixa etária é de maior risco na Covid-19?,65 anos,30 anos,10 anos
2,Fumantes apresentam maiores chances de terem casos graves de Covid-19?,Sim,Não,
2,Criaças podem ser contaminadas pela Covid-19?,Sim,Não,
3,O tipo (material) da máscara varia conforme o ambiente onde estou?,Sim,Não,
3,O que a máscara deve cobrir?,Nariz e boca,Somente o nariz,Boca e queixo
3,Devo guardar a máscara em um local separado após o uso?,Sim,Não,
3,Em que momentos devo higienizar as mãos?,Ao colocar e retirar a máscara,Somente ao colocar a máscara,Somente ao retirar a máscara
3,Por quanto tempo devo lavar as mãos com água e sabão?,20-30 segundos,05-10 segundos,10-15 segundos
3,Qual o tipo de máscara mais usada no hospital?,N95,Pano (algodão),Descartável
4,Qual é o lanche mais saudável entre essas opções?,Salada de frutas,Biscoito,Salgado
